STATION,NAME,DATE,AWND,PRCP,SNOW,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT10,WT11,WT13,WT14,WT16,WT18,WT21,date,flood_event,month,year,day_of_year,quarter,is_hurricane_season,is_summer,precip_3day_sum,precip_7day_sum,precip_14day_sum,precip_30day_sum,precip_7day_avg,temp_max_7day_avg,temp_min_7day_avg,precip_7day_max,precip_lag1,precip_lag2,precip_lag3,temp_range,temp_avg,high_precip_day,extreme_precip_day
USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-01-01,5.9,0.0,,12.2,5.6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2010-01-01,0,1,2010,1,1,0,0,0.0,0.0,0.0,0.0,0.0,12.2,5.6,0.0,,,,6.6,8.899999999999999,0,0
USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-01-02,3.7,0.0,,10.6,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-01-02,0,1,2010,2,1,0,0,0.0,0.0,0.0,0.0,0.0,11.399999999999999,4.75,0.0,0.0,,,6.699999999999999,7.25,0,0
USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-01-03,3.8,0.0,,8.3,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-01-03,0,1,2010,3,1,0,0,0.0,0.0,0.0,0.0,0.0,10.366666666666667,4.1,0.0,0.0,0.0,,5.500000000000001,5.550000000000001,0,0
USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-01-04,5.6,0.0,,6.1,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-01-04,0,1,2010,4,1,0,0,0.0,0.0,0.0,0.0,0.0,9.3,2.8,0.0,0.0,0.0,0.0,7.199999999999999,2.5,0,0
USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-01-05,4.2,0.0,,6.1,-2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-01-05,0,1,2010,5,1,0,0,0.0,0.0,0.0,0.0,0.0,8.66,1.8,0.0,0.0,0.0,0.0,8.3,1.9499999999999997,0,0
USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-01-06,2.6,0.0,,8.3,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-01-06,0,1,2010,6,1,0,0,0.0,0.0,0.0,0.0,0.0,8.6,1.3999999999999997,0.0,0.0,0.0,0.0,8.9,3.8500000000000005,0,0
USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-01-07,5.1,5.8,,16.7,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2010-01-07,0,1,2010,7,1,0,0,5.8,5.8,5.8,5.8,0.8285714285714285,9.757142857142856,1.2857142857142858,5.8,0.0,0.0,0.0,16.099999999999998,8.65,0,0
USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-01-08,6.9,0.0,,1.7,-2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-01-08,0,1,2010,8,1,0,0,5.8,5.8,5.8,5.8,0.8285714285714285,8.257142857142856,0.17142857142857132,5.8,5.8,0.0,0.0,3.9000000000000004,-0.2500000000000001,0,0
USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-01-09,5.6,0.0,,2.8,-4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-01-09,0,1,2010,9,1,0,0,5.8,5.8,5.8,5.8,0.8285714285714285,7.142857142857143,-1.0142857142857145,5.8,0.0,5.8,0.0,7.2,-0.8000000000000003,0,0
USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-01-10,3.8,0.0,,4.4,-4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-01-10,0,1,2010,10,1,0,0,0.0,5.8,5.8,5.8,0.8285714285714285,6.5857142857142845,-2.042857142857143,5.8,0.0,0.0,5.8,8.8,0.0,0,0
