EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
224783,ORLEANS PAR.,NEW ORLEANS,04/23/2010,1358,Flash Flood, , ,0,0,0,0,LA,CST-6, ,38764,C,71,LIX,0,0,Public,Heavy Rain, , ,1,N,1,N,NEW ORLEANS,04/23/2010,1600,29.965,-90.1016,29.9632,-90.0984,"Significant street flooding with streets impassible near the intersection of Tulane Avenue and Jefferson Davis Parkway.","Isolated thunderstorms developed on a lake breeze in the New Orleans Metro area. The storms produced small hail and flash flooding.",1
226257,ORLEANS PAR.,NEW ORLEANS,05/16/2010,947,Flash Flood, , ,0,0,10000,0,LA,CST-6, ,38978,C,71,LIX,0,0,Emergency Manager,Heavy Rain, , ,0,N,3,SSW,NEW ORLEANS,05/16/2010,1000,29.95,-90.1,29.9158,-90.1135,"Over 2.5 inches of rain between 8 am and 10 am at City Hall. Numerous roads were reported to be impassible. Cars were floating in several intersections.","Scattered thunderstorms produced reports of wind damage and flash flooding in the New Orleans Metro area.",2
364487,ORLEANS PAR.,NEW ORLEANS,04/03/2012,2330,Flash Flood, , ,0,0,5000,0,LA,CST-6, ,60986,C,71,LIX,0,0,Broadcast Media,Heavy Rain, , ,3,NE,2,S,GENTILLY,04/04/2012,130,29.9807,-90.0646,29.9882,-90.0343,"Two to three feet of standing water was reported in sections of Gentilly. Cars were stalled out in the flood water.","An upper low centered over Oklahoma combined with a very unstable airmass which allowed numerous severe thunderstorms to develop over southeast Louisiana during the overnight hours on the 3rd into the 4th and again the following night.",3
364507,ORLEANS PAR.,NEW ORLEANS,04/04/2012,254,Flash Flood, , ,0,0,10000,0,LA,CST-6, ,60986,C,71,LIX,0,0,Broadcast Media,Heavy Rain, , ,0,N,2,ENE,ALGIERS,04/04/2012,400,29.95,-90.1,29.9645,-90.0185,"Widespread street flooding was reported with several roads impassible and several stalled cars. Standing water was reported on Interstate 10 in some locations, and at least one on ramp was closed due to standing water.","An upper low centered over Oklahoma combined with a very unstable airmass which allowed numerous severe thunderstorms to develop over southeast Louisiana during the overnight hours on the 3rd into the 4th and again the following night.",4
384845,ORLEANS PAR.,NEW ORLEANS,07/20/2012,1020,Flash Flood, , ,0,0,20000,0,LA,CST-6, ,64274,C,71,LIX,0,0,Public,Heavy Rain, , ,3,SW,4,NW,VIEUX CARRE,07/20/2012,1300,29.9186,-90.125,30.0091,-90.1394,"Social media and other reports reported indicated significant and deep street flooding through portion of business district of New Orleans, including Tulane Avenue.  Some water entered the ground floor of Tulane Hospital. Washington Avenue and 4th Street, as well as St. Anthony Street were inundated. The Loyola Avenue onramp to the Pontchartrain Expressway was underwater. Areas of around South Jefferson Davis Parkway also had significant and deep street flooding.","A stationary upper level trough and a tropical airmass produced very slow moving thunderstorms with torrential rainfall.",5
384853,ORLEANS PAR.,(NEW)LKFRNT ARPT NEW,07/20/2012,1445,Flash Flood, , ,0,0,0,0,LA,CST-6, ,64274,C,71,LIX,0,0,Broadcast Media,Heavy Rain, , ,0,N,3,NNW,VIEUX CARRE,07/20/2012,1515,30.05,-90.03,30.0144,-90.1057,"Numerous streets were impassible due to flash flooding in New Orleans.","A stationary upper level trough and a tropical airmass produced very slow moving thunderstorms with torrential rainfall.",6
392865,ORLEANS PAR.,NEW ORLEANS,08/09/2012,1250,Flash Flood, , ,0,0,0,0,LA,CST-6, ,65620,C,71,LIX,0,0,Public,Heavy Rain, , ,0,N,1,WSW,ALGIERS,08/09/2012,1330,29.95,-90.1,29.9442,-90.0688,"Several streets were reported flooded throughout the metropolitan area. Rain rates of 2 inches per hour were reported during the peak rainfall between 130 pm and 230 pm CDT.","An unseasonably strong cold front triggered the development of severe thunderstorms during the late morning and afternoon hours.",7
410285,ORLEANS PAR.,NEW ORLEANS,08/29/2012,200,Flash Flood, , ,0,0,50000,0,LA,CST-6, ,67740,C,71,LIX,0,0,Emergency Manager,Heavy Rain / Tropical System, , ,2,NNW,2,WSW,NEW ORLEANS,08/29/2012,600,29.9725,-90.116,29.9324,-90.1312,"Heavy rain associated with Hurricane Isaac produced deep street flooding in the New Orleans area.","Isaac entered the Gulf of Mexico as a tropical storm on August 26, moving northwest after crossing Haiti, Cuba and the Florida Straits. Isaac strengthened into a hurricane on the morning of the 28th when it was 75 miles south-southeast of the mouth of the Mississippi River.  Isaac made landfall in Plaquemines Parish as a Category 1 Hurricane near Southwest Pass of the Mississippi River on the evening of the 28th. A second landfall occurred near Port Fourchon the following morning. The storm weakened to a tropical storm on the afternoon of the 29th about 50 miles west southwest of New Orleans, and weakened further to a tropical depression on the afternoon of the 30th near Monroe, Louisiana. || The highest wind gust recorded on land in Louisiana was 75 knots, or 86 mph, measured by a portable weather station (Texas Tech University) near Buras on the evening at August 28.  The maximum sustained wind in Louisiana was 65 knots, or 75 mph, at the same portable weather station near Buras on the evening of August 28.  There were several marine observations near the coast that had slightly higher wind readings, but their observation heights were generally 80 ft or higher. ||Due to Isaac���s  very large size, and slow forward speed, tropical storm force winds lasted in excess of 48 hours in many areas of coastal southeast Louisiana. Occasional hurricane gusts of 70 to 85 mph were recorded across southeast Louisiana during the night of the Aug 28th and early on the 29th, especially south of Lake Pontchartrain. Interior areas of southeast Louisiana such as around Baton Rouge and northward experienced tropical storm force winds. Widespread power outages occurred across the area. Local utility companies reported over 700,000 customers were without power at the peak of the storm in southeast Louisiana.  Generally, most of the wind damage was limited to downed trees and power lines, and roof damage caused by wind and falling trees and tree limbs.||The minimum sea level pressure measured from a land station was 965 mb on the morning of Aug 29 at a portable weather station ( Texas Tech Univ) located near Larose.   A pressure of 974.3 mb was measured at a NOAA gage at Bayou Gauche on the morning of August 29th.  Close to the landfall location, a reading 969.8 mb was measured at the NOAA NOS station at Pilots Station near Southwest Pass  on the evening of the  29th shortly after the first landfall. The height of this measurement was 24 meter or 79 feet. ||A storm tide of 8 to 13 feet  occurred in eastern Plaquemines Parish and St. Bernard Parish.  A representative maximum storm tide of 13.21 ft NAVD88 was measured at a USGS tide gage near Pointe a la Hache. A local levee was overtopped or breached in the Braithwaite area of Plaquemines Parish early on August 29. A number of people had to be rescued from the flooded area, but a 60 year old woman and 52 year old man drowned in the storm surge. ||Significant impact also occurred around Lakes Pontchartrain and Maurepas with a storm tide of 5 to 9  feet. 5 to 10 thousand homes were flooded in low lying areas of that border these lakes of the following parishes: St. Tammany, Tangipahoa, Livingston, Ascension, St James and St John the Baptist.   Laplace in St. John the Baptist was especially hard hit with over 5,000 homes flooded by storm surge.  An additional storm surge fatality occurred in St. Tammany Parish on the morning of the 30th when a 75 year old man drove his car into a storm surge filled ditch. ||Storm surge flooding also affected areas south and southwest of New Orleans with a storm tide of 4 to 7 feet. Roadways and low lying property were flooded. Local levees around Lafitte and Myrtle Grove were overtopped and/or breached resulting flooding of numerous houses and property in this area.||Many areas of southeast Louisiana received 8 to 12 inches of rain with a few locations having 15 inches of rain or more.  Maximum storm total rainfall was 20.66 inches at the New Orleans Carrollton gauge on the Mississippi River.  Rainfall run-off produced moderate to major flooding on the Tangipahoa, Tchefuncte, Tickfaw, Amite, Pearl, Bogue Chitto and Bogue Falaya Rivers.  Storm surge and high tides restricted outflow of the rivers near the coast and lakes exacerbating flooding in those areas.   ||Overall  impacts of Isaac resulted in at least $600 million in damages in southeast Louisiana, 3 direct fatalities, and 2 indirect fatalities.  Storm surge flooding accounted for the bulk of damage, estimated around $500 million and the three direct storm surge fatalities in Louisiana. Winds accounted for a much lesser amount of slightly more than a $100 million. As stated earlier, these are early damage estimates and will likely be adjusted upward due to later damage assessments.||During the recovery process there were two indirect fatalities. On Sept 1, A 67 year man was electrocuted when attempting to restore power to his house in Abita Springs, St Tammany Parish. On Sept 3, a 90 year old man died of heat related impacts in his house in Marrero, Jefferson Parish, where power had not been restored.",8
452198,ORLEANS PAR.,NEW ORLEANS,05/02/2013,1524,Flash Flood, , ,0,0,50000,0,LA,CST-6, ,74784,C,71,LIX,0,0,Broadcast Media,Heavy Rain, , ,0,N,1,E,NEW ORLEANS,05/02/2013,1630,29.95,-90.1,29.9511,-90.0882,"Local broadcast media reported several streets in New Orleans were impassable due to flash flooding. Water was up to the doors of cars in some locations.","A slow moving upper low over southern Louisiana fueled the development of numerous thunderstorms across the area. Several reports of flooding were received in the New Orleans area.",9
512385,ORLEANS PAR.,MC DOLOGHVILLE,05/09/2014,2038,Flash Flood, , ,0,0,0,0,LA,CST-6, ,84867,C,71,LIX,0,0,NWS Employee,Heavy Rain, , ,2,WSW,2,N,ALGIERS,05/09/2014,2200,29.9205,-90.0769,29.9746,-90.0481,"A National Weather Service employee witnessed cars stalling out due to flash flooding in downtown New Orleans.","Very moist and unstable air surged northward over southeast Louisiana and southern Mississippi ahead of a cold front moving through the Great Plains. Thunderstorms developed in this moist airmass, producing very heavy rainfall, which caused flash flooding.",10
